"","Cluster ID","Average Coverage","SD Coverage","Average Divergence","SD Divergence","Slope","Estimated Half-life","Top Hit","No. of Hits","%cluster","%genome"
"1","CL1",423.995987158909,156.606559488505,0.0321908905,0.0149398758165961,"-10.9917050726105",0.0630609333111704,"LTR.Copia","1hits","0.00104%","2.55"
"2","CL2",484.49736299014,80.2849512738853,0.0475615018571429,0.00940057092795533,"0.0279907058816519",-24.7634762585358,"Simple_repeat","545hits","0.328%","2.37"
"3","CL5",126.271355838684,113.612718438406,0.0569239355,0.0180688167732319,"1.67238054984457",-0.414467377430552,"Simple_repeat","1218hits","1.13%","1.62"
"4","CL6",390.484980509058,183.910524106273,0.0596944692857143,0.021625226810132,"8.03458690798363",-0.0862704191887195,"LTR.Gypsy","30603hits","83.4%","1.5"
"5","CL7",155.816469446415,125.56800292519,0.0819808122093023,0.0160505633649757,"16.6069782524752",-0.0417383084401061,"Simple_repeat","14517hits","26.6%","1.49"
"6","CL8",416.862582486178,90.1885048767556,0.0384880344444444,0.0112949189336199,"-5.20921747365832",0.133061670791249,"Simple_repeat","996hits","1.54%","1.32"
"7","CL10",528.819823434992,18.0064555599982,0.0422040965,0.013423708689363,"0.531333499954167",-1.3045425907076,"Simple_repeat","87hits","0.128%","1.22"
"8","CL11",433.439205457464,233.331321139007,0.0547871715,0.0065502445639393,"34.8388436064252",-0.0198958148091951,"LTR.Gypsy","20516hits","75.4%","1.09"
"9","CL13",589.666131621188,26.2991512469882,0.039754934,0.0105428645267556,"-1.83782974684084",0.37715527336057,"LTR.Copia","1406hits","4.89%","1.05"
"10","CL14",464.567014446228,100.933590178613,0.04805445075,0.0187571551832741,"-3.40508495070812",0.203562375269316,"Simple_repeat","165hits","0.319%","1.02"
"11","CL15",403.169341894061,128.855999887846,0.0444737588571429,0.018705024498252,"-7.17337966845239",0.096627700274714,"Simple_repeat","104hits","0.246%","1.01"
"12","CL16",551.050561797753,45.4201119499131,0.0363709256666667,0.0100734539803762,"-2.92730500892535",0.236786798248403,"LTR.Copia","1246hits","4.27%","0.994"
"13","CL17",561.862359550562,40.0886234561435,0.04247584825,0.0252638524057367,"-0.592135124095198",1.17058953666884,"Simple_repeat","146hits","0.254%","0.975"
"14","CL18",463.467897271268,108.342959776979,0.0678138765,0.011854348811635,"-1.28744113001868",0.538391359727563,"LTR.Gypsy","1260hits","3.12%","0.973"
"15","CL19",524.199237560193,57.5117950359076,0.051763886,0.004580091093531,"0.072796154447384",-9.52175545290572,"LTR.Copia","15211hits","60.6%","0.961"
"16","CL20",196.400674886911,129.296541071286,0.0700912176818182,0.0203203701757511,"-4.05320643630027",0.171012059576379,"Simple_repeat","7hits","0.00754%","0.925"
"17","CL22",275.769760376061,118.99323454095,0.0833859681428571,0.0212791136896797,"13.432787816632",-0.051601141179474,"LTR.Gypsy","4647hits","18.2%","0.908"
"18","CL23",305.784711075441,120.356187397483,0.068260638,0.0141784379019369,"-8.77313667819585",0.0790079085719302,"Low_complexity","98hits","0.19%","0.878"
