"","Cluster ID","Average Coverage","SD Coverage","Average Divergence","SD Divergence","Slope","Estimated Half-life","Top Hit","No. of Hits","%cluster","%genome"
"1","CL4",1415.64444444445,425.513290692027,0.099253389,0.0105510726222716,"12.5637102804127",-0.0551705797960487,"LTR.Gypsy","29253hits","59.8%","0.717"
"2","CL9",1345.27222222222,NA,0.091552377,NA,NA,NA,"LTR.Gypsy","15411hits","35.6%","0.613"
"3","CL10",2335.13888888889,NA,0.057636575,NA,NA,NA,"Simple_repeat","454hits","0.496%","0.606"
"4","CL11",603.466666666667,NA,0.088537107,NA,NA,NA,"Simple_repeat","121hits","0.205%","0.588"
"5","CL12",1059.76666666667,NA,0.105370661,NA,NA,NA,"LTR.Gypsy","24252hits","62.9%","0.581"
"6","CL13",1240.81111111111,NA,0.093566183,NA,NA,NA,"Simple_repeat","113hits","0.169%","0.58"
"7","CL15",1737.36111111111,NA,0.078193551,NA,NA,NA,"Simple_repeat","353hits","0.574%","0.547"
"8","CL17",927.375555555557,387.77864643753,0.07134031525,0.00687707379737905,"-16.8734276628304",0.0410792160555997,"LTR.Copia","18239hits","52.3%","0.512"
"9","CL22",545.463888888889,NA,0.085240034,NA,NA,NA,"Simple_repeat","48hits","0.0792%","0.48"
"10","CL23",1727.01111111111,NA,0.071592501,NA,NA,NA,"LTR.Copia","343hits","0.812%","0.464"
"11","CL29",1260.87222222222,NA,0.06232856,NA,NA,NA,"Simple_repeat","929hits","2.1%","0.381"
"12","CL30",1087.09444444444,376.73863627418,0.072680918,0.00542903151566189,"28.2984681141586",-0.0244941591100877,"LTR.Gypsy","7050hits","28%","0.372"
"13","CL31",733.65,NA,0.072093851,NA,NA,NA,"LTR.Gypsy","26hits","0.0889%","0.359"
"14","CL32",1255.89166666667,488.653997880975,0.090109049,0.000236637526964767,"732.968043327713",-0.000945671761367687,"LTR.Gypsy","2hits","0.0044%","0.353"
"15","CL34",2108.22777777778,NA,0.061315446,NA,NA,NA,"LTR.Copia","2858hits","10.6%","0.353"
"16","CL35",338.565138888889,71.6557062654914,0.0445203255,0.0131002710700834,"6.80623968283743",-0.10183996051561,"Simple_repeat","74hits","0.148%","0.35"
"17","CL37",944.327777777778,653.504853587602,0.04023418525,0.0172065694759793,"11.0411009210281",-0.0627788103303923,"Simple_repeat","823hits","2.13%","0.327"
"18","CL38",463.365,NA,0.069024507,NA,NA,NA,"LTR.Gypsy","446hits","1.68%","0.327"
"19","CL39",1504.71666666667,NA,0.080117707,NA,NA,NA,"LTR.Gypsy","11604hits","54.6%","0.316"
"20","CL40",1475.67222222222,NA,0.079639985,NA,NA,NA,"LTR.Gypsy","16016hits","76%","0.314"
