"","Cluster ID","Average Coverage","SD Coverage","Average Divergence","SD Divergence","Slope","Estimated Half-life","Top Hit","No. of Hits","%cluster","%genome"
"1","CL4",143.450262616505,94.3565332194259,0.0541445214285714,0.0141012386163265,"-12.7892119761007",0.0541978021675798,"LTR.Gypsy","313hits","1.47%","0.903"
"2","CL5",437.721675255548,NA,0.065047915,NA,NA,NA,"LTR.Copia","5552hits","35.8%","0.894"
"3","CL6",216.343217984074,176.530286498944,0.05221447075,0.0181014296438167,"-14.0620228475387",0.0492921386969066,"Simple_repeat","1908hits","7.59%","0.879"
"4","CL7",133.007928370908,66.4316772210191,0.0500553076666667,0.0230451164052914,"-2.4956432443612",0.277742895394236,"DNA.MULE.MuDR","160hits","0.915%","0.878"
"5","CL10",104.439592703789,105.013768687574,0.0594228554444444,0.00734483300587714,"-18.9236002827945",0.0366287160054929,"LTR.Copia","8895hits","74%","0.756"
"6","CL11",140.288036267553,94.3090933975254,0.06492695475,0.0293293970955178,"-7.89666491481998",0.0877772056984574,"LTR.Gypsy","5441hits","49.1%","0.677"
"7","CL13",219.820072256102,120.283803113709,0.0593688584,0.0142172178817853,"21.6645838907501",-0.0319944839030992,"DNA.hAT.Ac","698hits","4.67%","0.624"
"8","CL14",220.127794448866,85.0056773281824,0.03652417725,0.00554886191304087,"-4.9649161070792",0.139609041846976,"Simple_repeat","599hits","2.79%","0.617"
"9","CL15",117.613043598915,28.312633732983,0.0349199235,0.00321909301475004,"-32.7962139676443",0.0211349755567451,"Simple_repeat","2168hits","8.65%","0.59"
"10","CL16",183.89485439653,57.5239521149993,0.039959418,0.00279509996769811,"49.9627216655611",-0.0138732870719036,"LTR.Gypsy","4524hits","47.3%","0.566"
"11","CL17",91.9438083930781,86.9977680851951,0.01267958675,0.00215297604858304,"-194.893085107987",0.00355655091701116,"Simple_repeat","371hits","1.57%","0.542"
"12","CL18",56.308233700564,70.9047445986042,0.031569893,0.0292691412781046,"18.7449188915164",-0.0369778703536377,"Simple_repeat","1137hits","9.49%","0.503"
"13","CL19",90.9451761996514,62.995275827665,0.0396310151428571,0.016827658758465,"-2.63574449991583",0.262979655494712,"LTR.Copia","95hits","0.677%","0.488"
"14","CL20",133.839428551285,81.8866627926689,0.028236047,0.0130656262888745,"-17.6930032937018",0.0391763438379445,"Simple_repeat","50hits","0.218%","0.439"
"15","CL21",49.437866427463,34.0819543261045,0.0718039633333333,0.012830816864059,"-9.50473242701143",0.0729265327438462,"Simple_repeat","102hits","0.662%","0.428"
"16","CL22",210.749213925512,137.449022249787,0.021251274,0.00659241775754055,"-15.4069569730111",0.0449892332258832,"LTR.Copia","386hits","5.52%","0.41"
"17","CL23",126.915285458103,80.1609525758913,0.0550467705,0.0125775172694314,"-26.3798792168995",0.0262756009934989,"LTR.Gypsy","1789hits","25.9%","0.403"
"18","CL24",171.043358411216,98.7660594293202,0.0538309383333333,0.0117359738278519,"24.9707915774882",-0.0277583182899511,"Simple_repeat","238hits","1.53%","0.396"
"19","CL25",119.645784598215,58.6475406507133,0.0454662194,0.00691635943198384,"-28.1520631030078",0.0246215411646292,"LTR.Copia","1637hits","25%","0.394"
"20","CL26",109.202565339121,61.0882680538432,0.0349549065,0.0152775714236219,"-6.82441946633157",0.101568665874014,"LTR.Gypsy","513hits","6.97%","0.387"
"21","CL27",51.908272851161,13.625377448983,0.07554704025,0.0156750648622816,"5.8422776601672",-0.118643313597681,"LTR.Copia","193hits","2.75%","0.371"
"22","CL28",66.6244497728591,87.7728292090273,0.052705963,0.00260308350729054,"394.045800043209",-0.00175905232458749,"LTR.Copia","3141hits","52.1%","0.367"
"23","CL30",70.1439280282358,47.1632530744418,0.0639066703333333,0.0104370189279043,"-19.6942429453278",0.0351954214479915,"DNA.CMC.EnSpm","961hits","14.9%","0.352"
"24","CL31",237.907378087516,NA,0.000927073,NA,NA,NA,"rRNA","126hits","1.56%","0.352"
"25","CL32",81.30831138032,18.9718306942289,0.0706290421428571,0.0168623477823927,"-6.10840641778568",0.113474306251419,"LTR.Gypsy","2675hits","45.8%","0.336"
"26","CL33",218.434081119737,28.6881131598543,0.048453676,0.00020830375824262,"274.613576267557",-0.00252408198451416,"LTR.Copia","1511hits","25.8%","0.326"
"27","CL34",187.236230352513,64.9425610417051,0.033910171,0.00564300627028962,"-27.2493968506842",0.0254371568060062,"LTR.Gypsy","93hits","0.749%","0.325"
"28","CL35",19.8281273789425,NA,0.012935252,NA,NA,NA,"Simple_repeat","287hits","1.86%","0.32"
"29","CL36",328.571010707913,NA,0.014177521,NA,NA,NA,"LTR.Gypsy","379hits","6.4%","0.32"
"30","CL37",368.512869821265,NA,0.049139065,NA,NA,NA,"Simple_repeat","164hits","1.53%","0.314"
"31","CL38",92.1129172219877,48.2202982217145,0.0611221871666667,0.00549026453081789,"36.7586154394858",-0.018856727117512,"LTR.Copia","2751hits","54.9%","0.309"
"32","CL39",99.973224591675,110.755467723479,0.0492158528,0.030921411562384,"-12.7162532885561",0.0545087585809364,"LTR.Gypsy","385hits","4.62%","0.308"
"33","CL40",34.0811697378385,7.56845600643595,0.016389375,0.00250182500518981,"16.9428307292471",-0.0409109429018505,"Simple_repeat","61hits","0.595%","0.303"
"34","CL41",170.5590885261,158.900294794891,0.000398732,0.000206231935373744,"2354.62789196405",-0.00029437652672235,"DNA.CMC.EnSpm","86hits","1.04%","0.286"
"35","CL42",40.811497375335,4.06292074754403,0.092884655,0.0109638815611283,"3.94997834907534",-0.175481260732026,"LTR.Gypsy","1285hits","25.6%","0.275"
"36","CL43",293.8477311779,NA,0.081323766,NA,NA,NA,"DNA.hAT.Ac","457hits","6.29%","0.274"
"37","CL44",125.044344426252,59.3452110904577,0.0268422635,0.00807185539870999,"-9.8246507070346",0.0705518395746773,"LTR.Gypsy","1100hits","23.6%","0.274"
"38","CL45",73.9965784478213,NA,2.9232e-05,NA,NA,NA,"Simple_repeat","4hits","0.0363%","0.258"
"39","CL46",169.94374164206,152.930048099504,0.031556974,0.0253264379713703,"-31.1272221459203",0.0222681991123578,"LTR.Copia","498hits","12.1%","0.244"
"40","CL48",170.8957311599,91.5846295280148,0.0533551265,0.00810870105131596,"-30.2087658161733",0.0229452333398157,"Simple_repeat","154hits","1.82%","0.233"
"41","CL49",237.178366970096,NA,0.040206498,NA,NA,NA,"LTR.Copia","1044hits","25.7%","0.231"
"42","CL51",116.526277025725,28.6775063963835,0.087036428,0.00314447981430601,"-34.3396299595615",0.0201850509564663,"Simple_repeat","1hits","0.00828%","0.223"
"43","CL52",157.771656017754,195.905860631936,0.006430407,0.00859724466197165,"-97.6617045360497",0.00709743070585139,"rRNA","2156hits","65.5%","0.213"
