"","Cluster ID","Average Coverage","SD Coverage","Average Divergence","SD Divergence","Slope","Estimated Half-life","Top Hit","No. of Hits","%cluster","%genome"
"1","CL1",392.717658536585,54.7712792470671,0.0550680598,0.00884594351236414,"-4.22067815942191",0.164226494979869,"Simple_repeat","942hits","0.562%","2.24"
"2","CL2",490.729756097561,14.1605318977126,0.0425235335,0.0218877755266738,"-0.572637969014238",1.21044572324318,"Simple_repeat","445hits","0.328%","2.11"
"3","CL4",447.333333333333,NA,0.021732271,NA,NA,NA,"LTR.Copia","4hits","0.00503%","1.93"
"4","CL5",480.171056910569,18.5563215657331,0.034688386,0.00732864418483474,"-2.29068156449835",0.302594298265871,"LTR.Copia","230hits","0.386%","1.61"
"5","CL6",167.012836236934,93.160408363488,0.08869505325,0.0127463454337789,"18.7998720713626",-0.0368697817691961,"Simple_repeat","17771hits","26.2%","1.55"
"6","CL7",398.341333333333,28.7391499607072,0.0542219878,0.020234258323705,"-0.630143721986522",1.0999826807364,"Simple_repeat","35hits","0.0327%","1.53"
"7","CL8",435.236097560976,11.9295237705351,0.050526922,0.0117136565797052,"-1.01635261965526",0.681994779326739,"Simple_repeat","63hits","0.0665%","1.3"
"8","CL10",374.746146341463,51.2289094580332,0.0374571882,0.00933264442166341,"-5.50198509741545",0.125981290077567,"Low_complexity","68hits","0.122%","0.906"
"9","CL11",464.464715447155,30.0756084264676,0.0386876975,0.018506645457481,"-1.52062482264305",0.455830504828378,"Simple_repeat","79hits","0.139%","0.901"
"10","CL12",363.273495934959,91.7967859636309,0.035979787,0.00599996410676164,"2.15847859574488",-0.32112765997605,"Simple_repeat","347hits","0.648%","0.89"
"11","CL13",430.613593495935,17.1829043241423,0.0463002754,0.00756234997326858,"0.447387893649547",-1.5493203781301,"LTR.Copia","17171hits","61.9%","0.89"
"12","CL14",276.994719881744,127.933911569803,0.0831345722727273,0.0164640184528744,"7.05289524031477",-0.0982783887952673,"LTR.Gypsy","5758hits","20.3%","0.846"
"13","CL15",353.172422764228,118.428793251015,0.0734088394,0.0291051018578369,"-6.05473263609408",0.114480229304905,"LTR.Gypsy","114hits","0.448%","0.827"
"14","CL16",455.678048780488,31.8292332438103,0.0520869675,0.0236616730954331,"-1.28309987340963",0.54021295997639,"LTR.Copia","1537hits","5.95%","0.784"
"15","CL17",304.169164818921,67.8997563912376,0.0756540584545455,0.0174902782238683,"-3.59468596349059",0.192825517333056,"LTR.Gypsy","8421hits","34%","0.776"
"16","CL18",160.056333875339,101.943791213502,0.0654290195333333,0.0209926182054862,"-7.43730729065021",0.0931986743954137,"LTR.Gypsy","12hits","0.0433%","0.775"
"17","CL19",355.538536585366,131.114111505321,0.062555044,0.017354495455665,"-3.01353196032526",0.230011557761986,"LTR.Gypsy","20317hits","93.7%","0.743"
"18","CL20",345.695176151762,126.170064703591,0.071918505,0.0230468872495032,"-5.47549206945947",0.126590847318745,"LTR.Gypsy","15228hits","71.4%","0.715"
"19","CL21",389.409170731708,39.904221195417,0.0699008584,0.0140730510121813,"0.792601545099083",-0.874521611578861,"LTR.Gypsy","27hits","0.0922%","0.694"
"20","CL22",295.061788617886,97.5302122102404,0.066579218375,0.0210485276460739,"-5.47522825594695",0.126596946859171,"Low_complexity","107hits","0.222%","0.687"
"21","CL24",57.8051598915989,48.1330687040495,0.0726482163333333,0.0290221087253832,"11.5118197438777",-0.0602117819755281,"LTR.Gypsy","1948hits","8.56%","0.664"
"22","CL25",309.262005420054,84.6838288372112,0.0843571616666667,0.0180555554084212,"-4.57719995295629",0.151434760920213,"Simple_repeat","70hits","0.153%","0.656"
"23","CL26",274.872520325203,119.72488812604,0.050323861,0.0107795684065891,"-9.56825757670805",0.0724423621545546,"LTR.Copia","2017hits","8.33%","0.651"
"24","CL27",272.206341463415,104.976338661194,0.079587991875,0.0125001718191216,"-13.9558258389846",0.0496672277625941,"Simple_repeat","259hits","0.636%","0.629"
"25","CL28",474.941138211382,NA,0.052075006,NA,NA,NA,"LTR.Gypsy","13354hits","69.6%","0.626"
"26","CL29",135.455042128603,88.5617212291004,0.0521676619090909,0.0185305253237461,"3.74775822365524",-0.184949812446521,"LTR.Gypsy","9711hits","50.9%","0.625"
"27","CL30",381.285528455285,92.2412172804423,0.003148607,0.00390178834852968,"27.1948249933873",-0.0254882015504233,"Low_complexity","30hits","0.0521%","0.606"
"28","CL31",415.449756097561,70.6067391706565,0.05253841,0.0290200964634596,"-2.55574188720799",0.271211730742173,"LTR.Copia","52hits","0.268%","0.599"
"29","CL32",483.830243902439,NA,0.000200636,NA,NA,NA,"DNA.CMC.EnSpm","1hits","0.00235%","0.596"
"30","CL33",427.064715447155,39.3924221777666,0.034640381,0.00352176041032493,"4.37636501321428",-0.158384224914286,"Simple_repeat","52hits","0.17%","0.59"
"31","CL34",420.919674796748,80.6253499813016,0.0713274045,0.0340421844910147,"-2.45876103186521",0.28190912885671,"LTR.Gypsy","3168hits","13.6%","0.587"
"32","CL35",362.089495934959,98.7113577008475,0.053115078,0.0279520259200125,"-4.80851660646237",0.144149898458996,"LTR.Copia","532hits","1.49%","0.586"
"33","CL36",399.605853658537,64.0993305716548,0.0548618676666667,0.0107374730952926,"1.87416602204642",-0.369842998115553,"LTR.Gypsy","4489hits","22%","0.584"
"34","CL37",478.46569105691,5.51336331243157,0.03211397,0.0128631873459582,"-0.389055122543454",1.78161689795648,"LTR.Copia","1209hits","5.83%","0.582"
"35","CL38",179.698441980783,94.2739647404747,0.0589141653636364,0.0159910510258943,"3.27786659560929",-0.211462901354319,"Simple_repeat","156hits","0.465%","0.575"
"36","CL40",284.187317073171,253.902614059695,0.050411788,0.00585774894288173,"78.0428693855447",-0.00888162090934513,"LTR.Gypsy","13090hits","83.5%","0.535"
"37","CL41",228.017860162602,133.858095185992,0.0456135802,0.0111847413194857,"-27.5426627908025",0.0251663096565744,"LTR.Copia","7665hits","46.3%","0.53"
"38","CL42",117.921067431851,86.4191239254732,0.0566070548823529,0.0107929260930917,"4.11475081587024",-0.168454230056055,"Simple_repeat","269hits","0.751%","0.524"
"39","CL44",96.3213739837398,31.638545322522,0.058284871875,0.0122119275076234,"4.0554168142831",-0.170918850589832,"Simple_repeat","1017hits","2.51%","0.511"
"40","CL45",366.487479674797,12.9827104560098,0.0673127755,0.0112243195952411,"1.37094923755484",-0.505596532367754,"LTR","7366hits","40.8%","0.508"
"41","CL46",29.3307479674797,8.09292244326646,0.069671405,0.0309495799127565,"4.46496093024165",-0.155241488422706,"Simple_repeat","12195hits","80.4%","0.506"
"42","CL48",152.998475158085,75.5679352654975,0.0368128425555556,0.00726956287928138,"-13.0814315792011",0.0529871043825217,"Simple_repeat","1215hits","5.21%","0.471"
"43","CL49",208.829918699187,54.3998308738274,0.09472240725,0.00805089748197964,"12.5241397763724",-0.055344893376838,"Simple_repeat","142hits","0.329%","0.461"
"44","CL50",222.719869918699,126.565606143516,0.0717654252,0.0096338453050859,"-7.42825315741565",0.0933122721952434,"LTR.Gypsy","265hits","1.43%","0.437"
"45","CL51",412.714146341463,5.76590288819304,0.0451430313333333,0.00222543068916116,"2.25525187715588",-0.307348011803489,"LTR.Copia","3306hits","20.7%","0.431"
"46","CL52",465.482276422764,NA,0.000759821,NA,NA,NA,"rRNA","7882hits","62.5%","0.431"
"47","CL53",91.2786601626016,54.7981117619501,0.0446913888666667,0.010803413821901,"-10.2493438681025",0.0676284442672593,"LTR.Copia","8482hits","66.5%","0.428"
"48","CL55",444.00325203252,NA,0.047633974,NA,NA,NA,"Simple_repeat","105hits","0.284%","0.427"
"49","CL56",434.712845528455,NA,0.000984981,NA,NA,NA,"rRNA","9718hits","80.4%","0.417"
"50","CL58",300.842926829268,82.1583854000137,0.0757560465,0.0176342005954716,"5.46067497713561",-0.126934341168852,"Simple_repeat","75hits","0.216%","0.395"
"51","CL59",225.56379403794,91.0368733447489,0.0319865146666667,0.00490281298197683,"29.1254713519654",-0.0237986596743325,"LTR.Copia","2319hits","18.4%","0.39"
"52","CL60",133.876432055749,115.39438381753,0.0533541592857143,0.0139357375186327,"-4.77020279221255",0.145307696706631,"LTR.Gypsy","4828hits","40.2%","0.387"
"53","CL62",440.202276422764,NA,9.5544e-05,NA,NA,NA,"rRNA","10170hits","94.4%","0.38"
"54","CL63",186.126514905149,99.5442588332804,0.0749001244166667,0.0178159930826101,"-1.7977902149123",0.385555096924231,"LTR.Gypsy","3584hits","29.1%","0.377"
"55","CL64",216.087804878049,79.489400328417,0.081198003375,0.0135835038499547,"-1.74892464497975",0.39632764198824,"LTR.Gypsy","98hits","0.291%","0.374"
"56","CL65",111.520148664344,57.5295509551013,0.0453943961428571,0.0102457718996037,"-5.93269561289668",0.116835116073233,"DNA.CMC.EnSpm","1221hits","10.4%","0.366"
"57","CL66",134.614499061914,44.2267047682914,0.0703791434615385,0.0142136269348196,"1.43449990284512",-0.483197788431489,"Simple_repeat","49hits","0.147%","0.363"
"58","CL67",336.85918699187,187.662230518689,0.0664741745,0.00838476543818612,"-30.504097130594",0.0227230846267125,"LTR.Gypsy","7739hits","72.4%","0.352"
"59","CL68",213.34093495935,97.0136601800971,0.051099823375,0.00777288153698834,"-16.4727573087433",0.0420783945012072,"Simple_repeat","241hits","1.05%","0.341"
"60","CL69",156.325723577236,78.9263146072105,0.0387594586,0.0112718343223969,"-15.3923143331091",0.0450320312825847,"LTR.Copia","5284hits","52.9%","0.33"
"61","CL70",240.976260162602,184.146702560712,0.0391073955,0.000224910160998784,"-1651.17673540074",0.000419789817588316,"LTR.Copia","318hits","2.36%","0.321"
"62","CL72",243.021680216802,44.3973962337844,0.0550279543333333,0.018765751325614,"3.04191822951097",-0.227865158844647,"LTR.Copia","27hits","0.171%","0.304"
"63","CL73",107.978493224932,75.0514237844239,0.0422215018333333,0.0168829231773314,"-6.04216102214387",0.114718422435224,"DNA.MULE.MuDR","352hits","3.23%","0.302"
"64","CL74",306.693495934959,37.2625980708683,0.0700797735,0.0192659380521254,"-1.515145970997",0.457478813149494,"Simple_repeat","848hits","4.74%","0.301"
"65","CL75",282.861463414634,118.523054104954,0.056464159,0.00517947514780485,"36.2198960611279",-0.0191371940822284,"Simple_repeat","423hits","2.56%","0.299"
"66","CL76",430.866341463415,NA,0.000693899,NA,NA,NA,"rRNA","2861hits","31.6%","0.297"
"67","CL77",102.645853658537,72.8095672277217,0.030251315875,0.00914727453203245,"-6.68680694103743",0.103658919222873,"LTR.Copia","2491hits","27%","0.295"
"68","CL82",447.530406504065,NA,0.000517467,NA,NA,NA,"rRNA","6855hits","90.2%","0.262"
"69","CL83",82.8167284552846,22.6866794495047,0.0347429184,0.0101958173056776,"-3.63030392128193",0.190933650622613,"LTR.Gypsy","2311hits","28%","0.259"
"70","CL84",201.372574525745,147.417101352063,0.0760752636666667,0.0196359626195175,"0.304013898985357",-2.27998516802461,"LTR.Gypsy","3732hits","48.1%","0.251"
"71","CL85",43.6569893025246,12.865525254675,0.0490376971578947,0.00724428304985546,"-2.56474929461394",0.270259234310183,"LTR.Copia","2903hits","35.3%","0.247"
"72","CL86",190.308162601626,76.8405557431697,0.0370891766,0.0115491286902141,"-8.07555427726194",0.0858327684715854,"Simple_repeat","668hits","4.45%","0.242"
"73","CL88",156.031796747967,94.594557345909,0.054603334625,0.00703811335598958,"15.8363922659141",-0.0437692606321619,"LTR.Copia","157hits","2%","0.239"
"74","CL89",83.1301759053954,38.5759859528216,0.0443210821818182,0.00817126994749884,"20.3624716074931",-0.0340404246557613,"LTR.Gypsy","896hits","10.5%","0.231"
"75","CL90",179.584878048781,83.9201744367442,0.03844318375,0.00737634070885998,"5.59310696772109",-0.123928826063981,"LTR.Copia","150hits","1.67%","0.229"
"76","CL91",205.951707317073,107.892786423398,0.0614112715,0.00617803127644746,"-19.6291349145764",0.0353121614159991,"LTR.Gypsy","66hits","0.521%","0.228"
"77","CL92",175.471089430894,84.8816756455279,0.0638410644,0.0131699225020026,"-9.32731670015437",0.0743136748587591,"LTR.Gypsy","313hits","3.13%","0.223"
"78","CL95",121.722053426248,63.1869136437523,0.0456176938571429,0.00897029518015189,"-13.1158942492807",0.0528478781077363,"Simple_repeat","168hits","1.34%","0.2"
"79","CL96",81.4781138211381,25.2056623025686,0.06102038,0.010425241686723,"0.101789365230839",-6.80962278316618,"Simple_repeat","77hits","0.49%","0.196"
