"","Cluster ID","Average Coverage","SD Coverage","Average Divergence","SD Divergence","Slope","Estimated Half-life","Top Hit","No. of Hits","%cluster","%genome"
"1","CL3",799.306591642156,176.233632626686,0.063762409,0.00528064657184345,"-18.2822206100951",0.0379137302487863,"Simple_repeat","151hits","0.29%","1.81"
"2","CL4",567.568310669679,411.192029689338,0.0649756298333333,0.0118795033783533,"8.00173336672253",-0.0866246285389355,"LTR.Gypsy","16681hits","82.7%","1.45"
"3","CL5",797.099336430937,173.561239056647,0.0397907074,0.00466671193952651,"-11.7989873953534",0.0587463277427446,"Simple_repeat","594hits","1.43%","1.45"
"4","CL6",1070.87187575486,6.58005074099627,0.0350064895,0.0120480381841402,"-0.221494240946495",3.12941400913167,"LTR.Copia","205hits","0.769%","1.44"
"5","CL7",519.133686127164,355.381538319987,0.0983992248571429,0.00734014904125778,"52.5636482477473",-0.0131868164342959,"Simple_repeat","7826hits","26.4%","1.44"
"6","CL8",620.261083673846,308.985329878787,0.0536452541428571,0.0175862282193156,"-5.74882816852033",0.120571907916036,"Simple_repeat","337hits","0.744%","1.42"
"7","CL9",621.71578782841,373.043252500711,0.0514343062,0.0120738088430458,"-22.6392776078564",0.0306170184652626,"Simple_repeat","114hits","0.281%","1.41"
"8","CL11",881.033221080751,149.475054587323,0.0375108875,0.00818673871185812,"-9.25980392432584",0.0748554922139359,"LTR.Copia","804hits","3.85%","1.26"
"9","CL14",788.773320829248,275.026926034421,0.049607169,0.0221458361165111,"-7.85271395234375",0.0882684871455258,"LTR.Copia","914hits","5.02%","1.18"
"10","CL15",698.887657425958,254.370880119539,0.035860721,0.00555303696452415,"-10.4115039765007",0.0665751251811854,"Low_complexity","108hits","0.336%","1.14"
"11","CL16",1051.62553106839,24.5950621604586,0.056075979,0.00163075087197585,"-6.22906828509717",0.111276221231717,"LTR.Gypsy","11849hits","74%","1.12"
"12","CL18",707.140969350783,275.911352174778,0.0571208776,0.0184212376785302,"-6.88411035690308",0.100687982124646,"LTR.Copia","8685hits","62.2%","0.933"
"13","CL19",183.766476737191,126.745975558406,0.0781782143333333,0.00950347872569357,"28.1881614202051",-0.0245900103318942,"Simple_repeat","101hits","0.313%","0.867"
"14","CL20",1034.82813987524,100.228972624644,0.0417689495,0.0203280676730038,"-2.07249583946051",0.334450456962257,"Simple_repeat","35hits","0.112%","0.849"
