,query_title,filter,top_hit_id,top_hit_score,top_hit_name
1,CL136Contig12,,gi|147777358|emb|AM437301.2|,320,"Vitis vinifera contig VV78X204561.14, whole genome shotgun sequence"
2,CL193Contig11,,gi|729055826|gb|KM577451.1|,627,"Olea europaea isolate 69877_E retrotransposon copia-type, complete sequence"
3,CL193Contig164,,gi|147811615|emb|AM470257.2|,60,"Vitis vinifera contig VV78X006241.5, whole genome shotgun sequence"
4,CL193Contig195,,gi|147775096|emb|AM468393.2|,197,"Vitis vinifera contig VV78X240602.11, whole genome shotgun sequence"
5,CL195Contig414,,gi|1021535532|ref|XM_016309329.1|,38,"PREDICTED: Arachis ipaensis uncharacterized LOC107607365 (LOC107607365), mRNA"
6,CL196Contig82,,gi|1063511937|ref|XR_001928549.1|,35,"PREDICTED: Theobroma cacao uncharacterized LOC18595502 (LOC18595502), transcript variant X1, ncRNA"
7,CL196Contig144,,gi|302583371|gb|GU252996.1|,28,Cercis canadensis clone 383 microsatellite sequence
8,CL209Contig40,,gi|985461624|ref|XM_015533020.1|,125,"PREDICTED: Citrus sinensis RNA-directed DNA polymerase homolog (LOC107178163), partial mRNA"
9,CL214Contig378,,gi|923750088|ref|XM_013818640.1|,30,"PREDICTED: Brassica napus uncharacterized LOC106378525 (LOC106378525), mRNA"
10,CL217Contig34,,gi|32567659|emb|BX005015.5|,29,"Zebrafish DNA sequence from clone CH211-66I11 in linkage group 5, complete sequence"
11,CL249Contig125,,gi|1126731993|emb|LT669795.1|,60,"Arabis alpina genome assembly, chromosome: chr8"
12,CL305Contig11,,gi|733581885|emb|LN713262.1|,28,"Cucumis melo genomic chromosome, chr_8"
13,CL307Contig1,,gi|733578670|emb|LN713265.1|,29,"Cucumis melo genomic chromosome, chr_11"
14,CL316Contig4,,gi|156231117|gb|AC122171.24|,129,"Medicago truncatula clone mth2-23b18, complete sequence"
15,CL316Contig6,,gi|1025141440|ref|XM_016610951.1|,28,"PREDICTED: Nicotiana tabacum uncharacterized LOC107789173 (LOC107789173), mRNA"
16,CL327Contig21,,gi|1009175510|ref|XM_016013438.1|,186,"PREDICTED: Ziziphus jujuba uncharacterized LOC107406328 (LOC107406328), mRNA"
17,CL334Contig1,1,gi|927682664|gb|KT266264.1|,5506,"Humulus lupulus chloroplast, complete genome"
18,CL340Contig10,,gi|965656162|dbj|AP015034.1|,33,"Vigna angularis var. angularis DNA, chromosome 1, almost complete sequence, cultivar: Shumari"
19,CL406Contig48,,gi|519695805|gb|JX589700.1|,36,Gossypium hirsutum clone NBRI_GE24448 microsatellite sequence
20,CL417Contig31,,gi|123641237|emb|AM424683.1|,338,"Vitis vinifera contig VV78X173595.8, whole genome shotgun sequence"
21,CL417Contig56,,gi|147852620|emb|AM478143.2|,185,"Vitis vinifera contig VV78X014217.8, whole genome shotgun sequence"
22,CL421Contig27,,gi|733578041|emb|LN713255.1|,108,"Cucumis melo genomic chromosome, chr_1"
23,CL423Contig1,1,gi|927682664|gb|KT266264.1|,2540,"Humulus lupulus chloroplast, complete genome"
24,CL453Contig9,,gi|985470765|ref|XM_015525583.1|,52,"PREDICTED: Citrus sinensis uncharacterized LOC107174571 (LOC107174571), mRNA"
25,CL476Contig1,,gi|7960173|gb|AF223066.1|AF223066,1019,"Humulus lupulus 26S ribosomal RNA gene, partial sequence; 18S ribosomal RNA gene, internal transcribed spacer 1, 5.8S ribosomal RNA gene, internal transcribed spacer 2 and 26S ribosomal RNA gene, complete sequence; and 18S ribosomal RNA gene, partial sequence"
26,CL494Contig1,1,gi|927682664|gb|KT266264.1|,1619,"Humulus lupulus chloroplast, complete genome"
27,CL533Contig7,,gi|322504135|emb|FR798975.1|,29,"Leishmania braziliensis MHOM/BR/75/M2904 complete genome, chromosome 1"
28,CL548Contig1,1,gi|927682664|gb|KT266264.1|,2736,"Humulus lupulus chloroplast, complete genome"
29,CL575Contig13,,gi|685050688|emb|LN599200.1|,31,"Cyprinus carpio genome assembly common carp genome ,scaffold 000003998"
30,CL590Contig6,,gi|224775865|gb|AC235048.1|,30,"Glycine max strain Williams 82 clone GM_WBb0045O22, complete sequence"
31,CL602Contig2,1,gi|927682664|gb|KT266264.1|,1100,"Humulus lupulus chloroplast, complete genome"
32,CL642Contig2,,gi|729055752|gb|KM577377.1|,34,"Olea europaea isolate 84928_A retrotransposon copia-type, complete sequence"
33,CL645Contig3,,gi|663681407|emb|HG975524.1|,28,"Solanum lycopersicum chromosome ch12, complete genome"
34,CL651Contig5,,gi|687645979|emb|LK871874.1|,28,"Ascaris lumbricoides genome assembly A_lumbricoides_Ecuador_v1_5_4 ,scaffold ALUE_scaffold0000018"
35,CL656Contig1,1,gi|927682664|gb|KT266264.1|,873,"Humulus lupulus chloroplast, complete genome"
36,CL689Contig2,1,gi|927682664|gb|KT266264.1|,947,"Humulus lupulus chloroplast, complete genome"
37,CL699Contig1,1,gi|927682664|gb|KT266264.1|,812,"Humulus lupulus chloroplast, complete genome"
38,CL710Contig1,1,gi|927682664|gb|KT266264.1|,769,"Humulus lupulus chloroplast, complete genome"
39,CL795Contig2,,gi|984915421|gb|KT459222.1|,578,"Cannabis sativa voucher Ahrendsen_22 26S ribosomal RNA gene, partial sequence"
40,CL805Contig7,,gi|312283781|gb|AC243250.1|,31,"Panicum virgatum clone PV_ABa094-D10, complete sequence"
41,CL808Contig1,1,gi|927682664|gb|KT266264.1|,685,"Humulus lupulus chloroplast, complete genome"
42,CL823Contig1,1,gi|927682664|gb|KT266264.1|,776,"Humulus lupulus chloroplast, complete genome"
43,CL877Contig1,1,gi|927682664|gb|KT266264.1|,498,"Humulus lupulus chloroplast, complete genome"
44,CL888Contig1,,gi|697135583|ref|XM_009623557.1|,38,"PREDICTED: Nicotiana tomentosiformis zinc finger BED domain-containing protein RICESLEEPER 2-like (LOC104113409), mRNA"
45,CL902Contig1,1,gi|927682664|gb|KT266264.1|,556,"Humulus lupulus chloroplast, complete genome"
46,CL918Contig1,1,gi|927682664|gb|KT266264.1|,555,"Humulus lupulus chloroplast, complete genome"
47,CL924Contig1,1,gi|927682664|gb|KT266264.1|,565,"Humulus lupulus chloroplast, complete genome"
48,CL940Contig1,1,gi|927682664|gb|KT266264.1|,538,"Humulus lupulus chloroplast, complete genome"
49,CL1096Contig1,,gi|764620545|ref|XM_011470208.1|,60,"PREDICTED: Fragaria vesca subsp. vesca uncharacterized LOC105352652 (LOC105352652), mRNA"
50,CL34Contig63,,gi|257348221|emb|FP325124.3|,31,"Zebrafish DNA sequence from clone CH1073-20K20 in linkage group 11, complete sequence"
51,CL42Contig342,,gi|669026884|emb|HG670306.1|,96,"Triticum aestivum chromosome 3B, genomic scaffold, cultivar Chinese Spring"
52,CL87Contig765,,gi|733581963|emb|LN713261.1|,28,"Cucumis melo genomic chromosome, chr_7"
53,CL89Contig549,,gi|663680989|emb|HG975517.1|,422,"Solanum lycopersicum chromosome ch05, complete genome"
54,CL91Contig168,,gi|46561079|gb|AY588383.1|,44,Humulus lupulus clone HlCAG9 microsatellite sequence
55,CL101Contig270,,gi|1109260456|ref|XM_019298720.1|,32,"PREDICTED: Ipomoea nil uncharacterized LOC109150734 (LOC109150734), mRNA"
56,CL137Contig170,,gi|158829735|gb|EU094940.1|,122,Humulus lupulus clone AGA1-N16-4 microsatellite sequence
57,CL142Contig1,,gi|1042907812|emb|LT594797.1|,369,"Theobroma cacao genome assembly, chromosome: X"
58,CL142Contig117,,gi|332189094|gb|CP002684.1|,98,Arabidopsis thaliana chromosome 1 sequence
59,CL142Contig186,,gi|224923188|gb|AC235424.1|,77,"Glycine max strain Williams 82 clone GM_WBb0138C22, complete sequence"
60,CL142Contig420,,gi|240252461|gb|GQ203303.1|,58,"Oryza ridleyi clone OR_ABa179P17_071B12_226K13, complete sequence"
61,CL142Contig454,,gi|189163115|dbj|AP010349.1|,107,"Lotus japonicus genomic DNA, chromosome 4, clone: LjB25P16, BM1796, complete sequence"
62,CL149Contig81,,gi|923807395|ref|XM_013834159.1|,177,"PREDICTED: Brassica napus uncharacterized LOC106393458 (LOC106393458), mRNA"
63,CL149Contig171,,gi|923917671|ref|XM_013872808.1|,177,"PREDICTED: Brassica napus uncharacterized LOC106431961 (LOC106431961), mRNA"
64,CL149Contig179,,gi|147855483|emb|AM479947.2|,204,"Vitis vinifera contig VV78X233528.2, whole genome shotgun sequence"
65,CL151Contig35,,gi|848895558|ref|XM_012992375.1|,53,"PREDICTED: Erythranthe guttatus uncharacterized LOC105967762 (LOC105967762), mRNA"
66,CL151Contig275,,gi|332189094|gb|CP002684.1|,36,Arabidopsis thaliana chromosome 1 sequence
67,CL151Contig328,,gi|41688340|dbj|AP006655.1|,68,"Lotus japonicus genomic DNA, chromosome 5, clone: LjT09O10, TM0341, complete sequence"
68,CL170Contig382,,gi|663673442|emb|HG975443.1|,32,"Solanum pennellii chromosome ch04, complete genome"
69,CL173Contig439,,gi|1044544514|ref|XM_017582820.1|,41,"PREDICTED: Vigna angularis uncharacterized LOC108344370 (LOC108344370), mRNA"
70,CL175Contig463,,gi|1093393210|gb|KX608909.1|,29,"Saccharum hybrid cultivar R570 retrotransposon LTR Gypsy Sh236B24_te00001, complete sequence; retrotransposon LTR Gypsy Sh236B24_te00005 retrotransposon LTR Gypsy Sh236B24_te00007 SOLO, complete sequence; retrotransposons LTR Gypsy Sh236B24_te00009 SOLO and LTR Gypsy DEL Sh236B24_te00010, complete sequence; Serine threonine-protein kinase TOR (Sh236B24_g0100) gene, complete cds; and retrotransposon LTR Copia Sh236B24_te00020, complete sequence"
71,CL253Contig80,,gi|733577134|emb|LN713256.1|,74,"Cucumis melo genomic chromosome, chr_2"
72,CL266Contig37,,gi|1007355361|gb|KT886993.1|,79,Humulus lupulus extrachromosomal circular DNA complete sequence
73,CL266Contig44,,gi|1007355361|gb|KT886993.1|,465,Humulus lupulus extrachromosomal circular DNA complete sequence
74,CL266Contig96,,gi|1007355361|gb|KT886993.1|,593,Humulus lupulus extrachromosomal circular DNA complete sequence
75,CL318Contig62,,gi|685042159|emb|LN590684.1|,29,"Cyprinus carpio genome assembly common carp genome, scaffold: LG18, chromosome: 18"
76,CL329Contig3,1,gi|927682664|gb|KT266264.1|,5096,"Humulus lupulus chloroplast, complete genome"
77,CL341Contig1,1,gi|927682664|gb|KT266264.1|,4510,"Humulus lupulus chloroplast, complete genome"
78,CL365Contig1,,gi|663673457|emb|HG975451.1|,59,"Solanum pennellii chromosome ch12, complete genome"
79,CL365Contig19,,gi|290796032|gb|GU480450.1|,51,Arachis duranensis clone BAC ADUR185P1 genomic sequence
80,CL379Contig2,,gi|164498911|gb|AC216422.1|,300,"Populus trichocarpa clone POP107-N01, complete sequence"
81,CL379Contig17,,gi|147821205|emb|AM485058.2|,111,"Vitis vinifera contig VV78X234046.4, whole genome shotgun sequence"
82,CL381Contig1,1,gi|927682664|gb|KT266264.1|,3624,"Humulus lupulus chloroplast, complete genome"
83,CL384Contig4,,gi|687917819|emb|LK996946.1|,31,"Syphacia muris genome assembly S_muris_Valencia ,scaffold SMUV_scaffold0000848"
84,CL396Contig54,,gi|667677333|gb|AE014297.3|,36,Drosophila melanogaster chromosome 3R
85,CL416Contig2,,gi|7595451|gb|AF206931.1|,1016,"Humulus lupulus 18S ribosomal RNA gene, complete sequence"
86,CL448Contig3,1,gi|927682664|gb|KT266264.1|,2457,"Humulus lupulus chloroplast, complete genome"
87,CL477Contig1,1,gi|927682664|gb|KT266264.1|,2019,"Humulus lupulus chloroplast, complete genome"
88,CL492Contig1,1,gi|927682664|gb|KT266264.1|,1794,"Humulus lupulus chloroplast, complete genome"
89,CL519Contig1,1,gi|927682664|gb|KT266264.1|,1294,"Humulus lupulus chloroplast, complete genome"
90,CL526Contig1,1,gi|927682664|gb|KT266264.1|,1484,"Humulus lupulus chloroplast, complete genome"
91,CL530Contig1,1,gi|927682664|gb|KT266264.1|,1458,"Humulus lupulus chloroplast, complete genome"
92,CL535Contig1,1,gi|927682664|gb|KT266264.1|,1461,"Humulus lupulus chloroplast, complete genome"
93,CL615Contig3,1,gi|927682664|gb|KT266264.1|,780,"Humulus lupulus chloroplast, complete genome"
94,CL638Contig1,1,gi|927682664|gb|KT266264.1|,918,"Humulus lupulus chloroplast, complete genome"
95,CL644Contig1,1,gi|927682664|gb|KT266264.1|,954,"Humulus lupulus chloroplast, complete genome"
96,CL650Contig1,1,gi|927682664|gb|KT266264.1|,802,"Humulus lupulus chloroplast, complete genome"
97,CL726Contig1,1,gi|927682664|gb|KT266264.1|,805,"Humulus lupulus chloroplast, complete genome"
98,CL796Contig1,1,gi|927682664|gb|KT266264.1|,1316,"Humulus lupulus chloroplast, complete genome"
99,CL881Contig1,,gi|703092692|ref|XM_010096400.1|,35,Morus notabilis Dedicator of cytokinesis protein 6 partial mRNA
100,CL903Contig2,1,gi|927682664|gb|KT266264.1|,598,"Humulus lupulus chloroplast, complete genome"
101,CL908Contig1,1,gi|927682664|gb|KT266264.1|,1502,"Humulus lupulus chloroplast, complete genome"
102,CL937Contig1,1,gi|927682664|gb|KT266264.1|,508,"Humulus lupulus chloroplast, complete genome"
103,CL12Contig1287,,gi|733591015|emb|LN688231.1|,119,"Cucumis melo genomic scaffold, unassembled_sequence35704"
104,CL30Contig184,,gi|158829724|gb|EU094929.1|,135,Humulus lupulus clone ACA2-C4-5 microsatellite sequence
105,CL30Contig194,,gi|158829724|gb|EU094929.1|,292,Humulus lupulus clone ACA2-C4-5 microsatellite sequence
106,CL37Contig42,,gi|685050992|emb|LN599504.1|,28,"Cyprinus carpio genome assembly common carp genome ,scaffold 000006205"
107,CL65Contig643,,gi|1042907812|emb|LT594797.1|,33,"Theobroma cacao genome assembly, chromosome: X"
108,CL65Contig655,,gi|31580985|dbj|AP006354.1|,57,"Lotus japonicus genomic DNA, chromosome 1, clone: LjT16F22, TM0349b, complete sequence"
109,CL70Contig249,,gi|733577844|emb|LN713260.1|,74,"Cucumis melo genomic chromosome, chr_6"
110,CL93Contig319,,gi|147767539|emb|AM426055.2|,312,"Vitis vinifera contig VV78X201177.5, whole genome shotgun sequence"
111,CL107Contig16,,gi|1072970377|ref|XM_018579824.1|,37,"PREDICTED: Raphanus sativus uncharacterized LOC108807544 (LOC108807544), mRNA"
112,CL107Contig93,,gi|769826686|ref|XM_006826130.2|,434,"PREDICTED: Amborella trichopoda uncharacterized LOC18421312 (LOC18421312), partial mRNA"
113,CL107Contig106,,gi|769826686|ref|XM_006826130.2|,470,"PREDICTED: Amborella trichopoda uncharacterized LOC18421312 (LOC18421312), partial mRNA"
114,CL107Contig207,,gi|848865556|ref|XR_001172517.1|,47,"PREDICTED: Erythranthe guttatus uncharacterized LOC105954353 (LOC105954353), transcript variant X2, misc_RNA"
115,CL107Contig315,,gi|923921216|ref|XM_013874401.1|,34,"PREDICTED: Brassica napus uncharacterized LOC106433570 (LOC106433570), mRNA"
116,CL107Contig322,,gi|769826686|ref|XM_006826130.2|,150,"PREDICTED: Amborella trichopoda uncharacterized LOC18421312 (LOC18421312), partial mRNA"
