,query_title,filter,top_hit_id,top_hit_score,top_hit_name
1,CL1Contig287,,gi|1070255161|emb|LT594634.1|,30,"Plasmodium malariae genome assembly, chromosome: 13"
2,CL18Contig38,,gi|688659418|emb|LL282754.1|,32,"Echinostoma caproni genome assembly E_caproni_Egypt, scaffold ECPE_scaffold0041056"
3,CL18Contig54,,gi|1105166459|emb|LT635624.1|,104,"Plasmodium vivax genome assembly, chromosome: 13"
4,CL18Contig153,,gi|32140626|dbj|AB112768.1|,39,"Humulus japonicus DNA, external transcribed spacer region of intergenic spacer of 18S-26S ribosomal DNA, Japanese wild"
5,CL27Contig203,,gi|388491169|gb|BT133856.1|,32,Lotus japonicus clone JCVI-FLLj-2C1 unknown mRNA
6,CL27Contig219,,gi|1072945070|ref|XM_018627625.1|,40,"PREDICTED: Raphanus sativus 60S ribosomal protein L18a-2 (LOC108854116), mRNA"
7,CL27Contig346,,gi|1002857222|ref|XM_006654731.2|,34,"PREDICTED: Oryza brachyantha 60S ribosomal protein L18a-like (LOC102699309), mRNA"
8,CL27Contig489,,gi|1124012601|ref|XM_019711114.1|,28,"PREDICTED: Rhinolophus sinicus leucine rich repeat containing 71 (LRRC71), mRNA"
9,CL28Contig209,,gi|663673453|emb|HG975447.1|,44,"Solanum pennellii chromosome ch08, complete genome"
10,CL34Contig135,,gi|733581963|emb|LN713261.1|,34,"Cucumis melo genomic chromosome, chr_7"
11,CL41Contig22,,gi|1049461883|emb|LT594517.1|,37,"Plasmodium falciparum genome assembly, chromosome: 13"
12,CL41Contig81,,gi|83745237|gb|AC169177.4|,169,"Medicago truncatula chromosome 7 clone mth2-1p4, complete sequence"
13,CL41Contig133,,gi|733578762|emb|LN713258.1|,74,"Cucumis melo genomic chromosome, chr_4"
14,CL41Contig158,,gi|937937345|dbj|AP014967.1|,990,"Oryza sativa Japonica Group DNA, chromosome 11, cultivar: Nipponbare, complete sequence"
15,CL46Contig420,,gi|157426995|gb|AC210652.1|,640,"Populus trichocarpa clone POP053-J11, complete sequence"
16,CL51Contig114,,gi|358008857|gb|JN426768.1|,93,"Cannabis sativa SINE MADC2, complete sequence"
17,CL51Contig119,,gi|358008857|gb|JN426768.1|,133,"Cannabis sativa SINE MADC2, complete sequence"
18,CL63Contig123,,gi|1040811917|ref|XM_017372344.1|,32,"PREDICTED: Daucus carota subsp. sativus uncharacterized LOC108203423 (LOC108203423), mRNA"
19,CL63Contig187,,gi|698575953|ref|XM_009777782.1|,39,"PREDICTED: Nicotiana sylvestris uncharacterized LOC104225904 (LOC104225904), mRNA"
20,CL63Contig237,,gi|312162728|gb|HQ379628.1|,78,Arabidopsis lyrata haplotype Aly-Sb S-locus region genomic sequence
21,CL63Contig258,,gi|1012255132|ref|XM_016089167.1|,63,"PREDICTED: Arachis duranensis RNA-directed DNA polymerase homolog (LOC107469790), mRNA"
22,CL63Contig286,,gi|698575953|ref|XM_009777782.1|,37,"PREDICTED: Nicotiana sylvestris uncharacterized LOC104225904 (LOC104225904), mRNA"
23,CL64Contig256,,gi|84453091|dbj|AP007265.1|,31,"Lotus japonicus genomic DNA, chromosome 3, clone: LjT11L01, TM1658, complete sequence"
24,CL65Contig240,,gi|586678759|ref|XM_006840063.1|,1322,"PREDICTED: Amborella trichopoda uncharacterized LOC18429898 (LOC18429898), mRNA"
25,CL65Contig300,,gi|147862956|emb|AM451574.2|,39,"Vitis vinifera contig VV78X101249.5, whole genome shotgun sequence"
26,CL66Contig35,,gi|954576224|ref|XM_014757036.1|,28,"PREDICTED: Polistes canadensis uncharacterized LOC106791416 (LOC106791416), transcript variant X2, mRNA"
27,CL67Contig141,,gi|663680699|emb|HG975514.1|,238,"Solanum lycopersicum chromosome ch02, complete genome"
28,CL67Contig193,,gi|663673445|emb|HG975446.1|,75,"Solanum pennellii chromosome ch07, complete genome"
29,CL70Contig158,,gi|1126731799|emb|LT669793.1|,28,"Arabis alpina genome assembly, chromosome: chr6"
30,CL76Contig1,,gi|460002025|gb|KC292629.1|,961,"Cannabis sativa subsp. indica voucher 20121121-846 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 26S ribosomal RNA gene, partial sequence"
31,CL83Contig15,,gi|663680609|emb|HG975513.1|,62,"Solanum lycopersicum chromosome ch01, complete genome"
32,CL83Contig26,,gi|63020532|gb|DQ009671.1|,39,Medicago truncatula chromosome 2 genotype A17 telomere and telomere proximal genomic sequence
33,CL83Contig44,,gi|156572925|gb|EU098899.1|,128,"Gossypium exiguum isolate GE421 retrotransposon Gorge3 reverse transcriptase (pol) gene, partial sequence"
34,CL83Contig53,,gi|769821353|ref|XM_006832952.2|,1015,"PREDICTED: Amborella trichopoda uncharacterized LOC18426298 (LOC18426298), partial mRNA"
35,CL83Contig87,,gi|1052206272|ref|XM_008782004.2|,41,"PREDICTED: Phoenix dactylifera uncharacterized LOC103700023 (LOC103700023), mRNA"
36,CL84Contig162,,gi|1130630478|ref|XM_019847869.1|,54,"PREDICTED: Elaeis guineensis uncharacterized LOC109505386 (LOC109505386), mRNA"
37,CL84Contig242,,gi|743875036|ref|XM_011036517.1|,31,"PREDICTED: Populus euphratica protein CUP-SHAPED COTYLEDON 3-like (LOC105132814), mRNA"
38,CL87Contig8,1,gi|915477544|gb|KR779995.1|,6204,"Cannabis sativa cultivar dagestani chloroplast, complete genome"
39,CL89Contig46,,gi|1070254469|emb|LT594633.1|,32,"Plasmodium malariae genome assembly, chromosome: 12"
40,CL89Contig108,,gi|1040812067|ref|XM_017372410.1|,205,"PREDICTED: Daucus carota subsp. sativus uncharacterized LOC108203467 (LOC108203467), mRNA"
41,CL89Contig128,,gi|397001683|gb|JX027062.1|,64,"Citrullus lanatus BAC clone 63-C23, complete sequence"
42,CL89Contig188,,gi|1040908836|ref|XM_017361676.1|,54,"PREDICTED: Daucus carota subsp. sativus uncharacterized LOC108194733 (LOC108194733), mRNA"
43,CL89Contig210,,gi|224923042|gb|AC235278.1|,47,"Glycine max strain Williams 82 clone GM_WBb0048F23, complete sequence"
44,CL89Contig228,,gi|1042907543|emb|LT594794.1|,37,"Theobroma cacao genome assembly, chromosome: VII"
45,CL92Contig278,,gi|1042907542|emb|LT594793.1|,38,"Theobroma cacao genome assembly, chromosome: VI"
