cluster,total length [bp],number of reads,Genome proportion[%],cumulative GP [%],Repeat Masker,Domain hits,Layout,All missing mates [%],Missing mates,Portion of similarity hits to other clusters[%],Outside reads with similarity [%],
,,,,,,,,,with no similarity hit [%],,,
1,CL1,3836924,51466,0.831,0.83,"Simple_repeat (251hits, 0.257%)",LINE-ENDO NA NA (2 hits 0.00389%),,84.3,9.37,8.80E-01,12.25
,,,,,,"Low_complexity (11hits, 0.0121%)",Ty1-GAG Ty1/copia AleII (1 hits 0.00194%),,,,,
,,,,,,"LTR.Gypsy (5hits, 0.00607%)",,,,,,
,,,,,,"LTR.Copia (1hits, 0.000808%)",,,,,,
2,CL2,3614676,48337,0.781,1.61,"LTR.Gypsy (381hits, 0.459%)",Ty3-INT Ty3/gypsy chromovirus (1 hits 0.00207%),,62.8,15.04,5.70E-01,7.16
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (33hits, 0.0356%)",,,,,,
,,,,,,"DNA.CMC.EnSpm (2hits, 0.00271%)",,,,,,
,,,,,,"Low_complexity (2hits, 0.0018%)",,,,,,
,,,,,,"LTR.Copia (1hits, 0.00127%)",,,,,,
3,CL3,3396224,45446,0.734,2.35,"Simple_repeat (269hits, 0.32%)",,,37.4,8,6.10E-01,7.105
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (47hits, 0.0524%)",,,,,,
,,,,,,"LTR.Gypsy (11hits, 0.0101%)",,,,,,
,,,,,,"DNA.MULE.MuDR (3hits, 0.00418%)",,,,,,
,,,,,,"LINE.L1 (2hits, 0.00333%)",,,,,,
,,,,,,"DNA.CMC.EnSpm (2hits, 0.0028%)",,,,,,
4,CL4,3315491,44405,0.717,3.06,"LTR.Gypsy (29253hits, 59.8%)",Ty3-INT Ty3/gypsy chromovirus (27155 hits 61.2%),,33.8,6.6,7.30E-01,4.443
,,,,,,,Ty3-CHDII Ty3/gypsy chromovirus (18 hits 0.0405%),,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (7hits, 0.00543%)",,,,,,
,,,,,,"LTR.Copia (2hits, 0.00277%)",,,,,,
,,,,,,"LTR.Caulimovirus (1hits, 0.00127%)",,,,,,
5,CL5,3113088,41661,0.673,3.74,"LTR.Gypsy (8126hits, 16%)",Ty3-CHDII Ty3/gypsy chromovirus (3528 hits 8.47%),,84,13.32,6.80E-01,11.13
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (568hits, 0.885%)",,,,,,
,,,,,,"Low_complexity (7hits, 0.00755%)",,,,,,
,,,,,,"LTR.Copia (1hits, 0.00151%)",,,,,,
,,,,,,"DNA.CMC.EnSpm (1hits, 0.00128%)",,,,,,
6,CL6,3109866,41621,0.672,4.41,"LTR.Gypsy (38052hits, 85.8%)",Ty3-RT Ty3/gypsy chromovirus (26189 hits 62.9%),,30.2,7.21,6.50E-01,6.915
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"LTR.Caulimovirus (1hits, 0.00206%)",,,,,,
,,,,,,"DNA.PIF.Harbinger (1hits, 0.00193%)",,,,,,
,,,,,,"Simple_repeat (1hits, 0.00106%)",,,,,,
7,CL7,3016246,40376,0.652,5.06,"Simple_repeat (98hits, 0.133%)",,,49.7,10,1.70E+00,9.253
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"DNA.CMC.EnSpm (2hits, 0.00255%)",,,,,,
,,,,,,"DNA.MULE.MuDR (2hits, 0.00219%)",,,,,,
,,,,,,"RC.Helitron (1hits, 0.00159%)",,,,,,
,,,,,,"LTR.Caulimovirus (1hits, 0.00146%)",,,,,,
,,,,,,"LTR.Gypsy (1hits, 0.00109%)",,,,,,
8,CL8,2991283,40040,0.647,5.71,"Simple_repeat (531hits, 0.674%)",,,51.3,10.66,9.50E-01,8.586
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (228hits, 0.322%)",,,,,,
,,,,,,"DNA.CMC.EnSpm (32hits, 0.0454%)",,,,,,
,,,,,,"LTR.Gypsy (1hits, 0.00164%)",,,,,,
9,CL9,2834448,37971,0.613,6.32,"LTR.Gypsy (15411hits, 35.6%)",Ty3-RT Ty3/gypsy Ogre/Tat (14398 hits 37.9%),,15.7,3.94,1.70E-01,1.849
