,query_title,filter,top_hit_id,top_hit_score,top_hit_name
1,CL32Contig43,,gi|1108977550|ref|XM_010747702.2|,28,"PREDICTED: Larimichthys crocea solute carrier family 23 member 1 (slc23a1), mRNA"
2,CL32Contig634,,gi|1027112023|ref|XM_008243395.2|,32,"PREDICTED: Prunus mume probable galacturonosyltransferase-like 1 (LOC103340031), mRNA"
3,CL33Contig1,,gi|1124775477|emb|LK995457.1|,2501,"Desulfitobacterium hafniense genome assembly, scaffold: scaffold2"
4,CL40Contig50,,gi|154183879|gb|EU024836.1|,37,"Fragaria vesca subsp. americana clone fosmid 18A19, complete sequence"
5,CL40Contig63,,gi|663681331|emb|HG975521.1|,243,"Solanum lycopersicum chromosome ch09, complete genome"
6,CL40Contig78,,gi|304419304|gb|HM626809.1|,56,"Gossypium hirsutum isolate GH280_436017 retrotransposon Gorge3, partial sequence"
7,CL40Contig89,,gi|663681259|emb|HG975520.1|,4948,"Solanum lycopersicum chromosome ch08, complete genome"
8,CL41Contig47,,gi|7594790|dbj|AB041024.1|,161,"Humulus japonicus DNA, 18S-26S intergenic spacer, complete sequence"
9,CL50Contig137,,gi|690418043|emb|LM981836.1|,28,"Protopolystoma xenopodis genome assembly P_xenopodis_South_Africa ,scaffold PXEA_contig0233157"
10,CL56Contig30,,gi|1060142114|gb|CP017003.1|,35,Plasmodium falciparum 3D7 chromosome 13 sequence
11,CL56Contig84,,gi|586678759|ref|XM_006840063.1|,1319,"PREDICTED: Amborella trichopoda uncharacterized LOC18429898 (LOC18429898), mRNA"
12,CL58Contig1,,gi|170055310|ref|XM_001863491.1|,1822,"Culex quinquefasciatus conserved hypothetical protein, mRNA"
13,CL58Contig2,,gi|12862298|dbj|AB013908.1|,836,Cannabis sativa LINE-like retrotransposon pseudogene for reverse transcriptase
14,CL58Contig8,,gi|147863225|emb|AM437259.2|,38,"Vitis vinifera contig VV78X123234.6, whole genome shotgun sequence"
15,CL58Contig16,,gi|12862298|dbj|AB013908.1|,257,Cannabis sativa LINE-like retrotransposon pseudogene for reverse transcriptase
16,CL59Contig2,,gi|335336085|gb|CP002839.1|,34,"Halopiger xanaduensis SH-6, complete genome"
17,CL60Contig17,,gi|147775775|emb|AM432343.2|,28,"Vitis vinifera contig VV78X114469.6, whole genome shotgun sequence"
18,CL60Contig58,,gi|965664935|dbj|AP015036.1|,47,"Vigna angularis var. angularis DNA, chromosome 3, almost complete sequence, cultivar: Shumari"
19,CL60Contig60,,gi|965604228|dbj|AP015040.1|,456,"Vigna angularis var. angularis DNA, chromosome 7, almost complete sequence, cultivar: Shumari"
20,CL60Contig69,,gi|147832372|emb|AM489211.2|,34,"Vitis vinifera contig VV78X127928.7, whole genome shotgun sequence"
21,CL62Contig9,,gi|147811615|emb|AM470257.2|,197,"Vitis vinifera contig VV78X006241.5, whole genome shotgun sequence"
22,CL62Contig24,,gi|312032557|gb|AC243124.1|,679,"Gossypium raimondii clone GR__Ba0150L14-hof, complete sequence"
23,CL62Contig27,,gi|733581885|emb|LN713262.1|,119,"Cucumis melo genomic chromosome, chr_8"
24,CL62Contig44,,gi|312032557|gb|AC243124.1|,1230,"Gossypium raimondii clone GR__Ba0150L14-hof, complete sequence"
25,CL62Contig45,,gi|189163158|dbj|AP010392.1|,364,"Lotus japonicus genomic DNA, chromosome 4, clone: LjT45B04, TM1977, complete sequence"
26,CL62Contig54,,gi|663673445|emb|HG975446.1|,58,"Solanum pennellii chromosome ch07, complete genome"
27,CL62Contig64,,gi|147823353|emb|AM481310.2|,489,"Vitis vinifera contig VV78X248272.6, whole genome shotgun sequence"
